abricot|a/b/r/i/c_k/o/*t
affaire|a/ff/ai_ouvert/r/*e
affreux|a/ff/r/eu/*x
aider|ai_ferme/d/er
aile|ai_ouvert/l/*e
air|ai_ouvert/r
allumer|a/ll/u/m/er
allumettes|a/ll/u/m/e_ouvert/tt/*e/*s
alphabet|a/l/ph/a/b/et_ouvert
ami|a/m/i
ananas|a/n/a/n/a/s_s
âne|a=â/n/*e
ânerie|a=â/n/e_caduc/r/i/*e
animal|a/n/i/m/a/l
année|a/nn/e_aigu/*e
anniversaire|a/nn/i/v/e_ouvert/r/s_s/ai_ouvert/r/*e
après|a/p/r/e_grave/*s
araignée|a/r/ai_ouvert/gn/e_aigu/*e
arbre|a/r/b/r/*e
ardoise|a/r/d/oi/s_z/*e
armoire|a/r/m/oi/r/*e
arrêter|a/rr/e_circonflexe/t/er
arriver|a/rr/i/v/er
artichaut|a/r/t/i/ch/au/*t
asperge|a/s_s/p/e_ouvert/r/g_j/*e
assez|a/ss/ez
attendre|a/tt/en_an/d/r/*e
aussitôt|au/ss/i/t/o=ô/*t
auto|au/t/o
automne|au/t/o/*m/n/*e
autour|au/t/ou/r
autrefois|au/t/r/e_caduc/f/oi/*s
autruche|au/t/r/u/ch/*e
avalanche|a/v/a/l/an/ch/*e
avancer|a/v/an/c_s/er
avant|a/v/an/*t
avec|a/v/e_ouvert/c_k
avion|a/v/i_yod/on
avocat|a/v/o/c_k/a/*t
bague|b/a/gu/*e
balai|b/a/l/ai_ouvert
balançoire|b/a/l/an/ç/oi/r/*e
baleine|b/a/l/ei/n/*e
balle|b/a/ll/*e
ballon|b/a/ll/on
banane|b/a/n/a/n/*e
banc|b/an/*c
barbe|b/a/r/b/*e
bateau|b/a/t/eau
beau|b/eau
beaucoup|b/eau/c_k/ou/*p
bébé|b/e_aigu/b/e_aigu
bec|b/e_ouvert/c_k
berger|b/e_ouvert/r/g_j/er
bergère|b/e_ouvert/r/g_j/e_grave/r/*e
bêtise|b/e_circonflexe/t/i/s_z/*e
beurre|b/eu/rr/*e
biberon|b/i/b/e_caduc/r/on
bien|b/i_yod/en_in
bientôt|b/i_yod/en_in/t/o=ô/*t
bijoux|b/i/j/ou/*x
blanc|b/l/an/*c
blé|b/l/e_aigu
bleu|b/l/eu
blouson|b/l/ou/s_z/on
bœuf|b/oeu=œu/f
bonbon|b/on/b/on
bonnet|b/o/nn/et_ouvert
bord|b/o/r/*d
bosses|b/o/ss/*e/*s
botte|b/o/tt/*e
bouche|b/ou/ch/*e
boucher|b/ou/ch/er
bouchère|b/ou/ch/e_grave/r/*e
bouchon|b/ou/ch/on
boulanger|b/ou/l/an/g_j/er
boulangère|b/ou/l/an/g_j/e_grave/r/*e
boule|b/ou/l/*e
bouquet|b/ou/qu/et_ouvert
bouteille|b/ou/t/e_ouvert/ill/*e
bouton|b/ou/t/on
branche|b/r/an/ch/*e
bras|b/r/a/*s
bruit|b/r/u_glisse/i/*t
bruler|b/r/u/l/er
buisson|b/u_glisse/i/ss/on
bulle|b/u/ll/*e
bureau|b/u/r/eau
bus|b/u/s_s
but|b/u/t
cabane|c_k/a/b/a/n/*e
cactus|c_k/a/c_k/t/u/s_s
cadeau|c_k/a/d/eau
cadenas|c_k/a/d/e_caduc/n/a/*s
cadre|c_k/a/d/r/*e
café|c_k/a/f/e_aigu
cahier|c_k/a/*h/i_yod/er
caméra|c_k/a/m/e_aigu/r/a
camion|c_k/a/m/i_yod/on
canapé|c_k/a/n/a/p/e_aigu
