# ============================================================
# RÉFÉRENTIEL DES GRAPHÈMES ET COMPOSITIONS GRAPHIQUES
# syntaxe : code|graphie1;graphie2;graphie3
# ============================================================


# ------------------------------------------------------------
# VOYELLES ORALES
# ------------------------------------------------------------

a|a;à;â
e_a|e

i|i;î;ï
y_i|y

u|u;û;ü
eu_u|eu;eû

ou|ou;où;oû
aou|aou
oo_ou|oo

e_aigu|é
e_ferme|e
er|er
ez|ez
es_ferme|es
et_ferme|et
ai_ferme|ai

e_grave|è
e_circonflexe|ê
e_ouvert|e;ë
ai_ouvert|ai
ei|ei
et_ouvert|et
ey|ey

e_caduc|e
ai_caduc|ai
on_caduc|on

eu|eu;eû
oeu|œu
oe|œ
u_eu|u

o|o;ô
au|au
eau|eau
oo_o|oo
u_o|u


# ------------------------------------------------------------
# VOYELLES NASALES
# ------------------------------------------------------------

an|an
am|am
en_an|en
em|em
aon|aon

on|on
om|om

in|in
im|im
ain|ain
aim|aim
ein|ein
eim|eim
en_in|en
yn|yn
ym|ym

un|un
um|um


# ------------------------------------------------------------
# SEMI-VOYELLES
# ------------------------------------------------------------

i_yod|i;ï
y_yod|y
il_yod|il
ill|ill
ill_ij|ill

u_glisse|u

ou_glisse|ou
w_w|w


# ------------------------------------------------------------
# CONSONNES
# ------------------------------------------------------------

p|p;pp
b|b;bb

t|t;tt
th|th

d|d;dd

c_k|c;cc
k|k
q|q
qu|qu
ck|ck
cqu|cqu
ch_k|ch

g_g|g;gg
gu|gu
c_g|c
gh|gh

f|f;ff
ph|ph

v|v
w_v|w

s_s|s;ss
c_s|c
ç|ç
sc|sc
t_s|t
x_s|x

z|z;zz
s_z|s
x_z|x

ch|ch
sch|sch
sh|sh

j|j
g_j|g
ge|ge

m|m;mm
n|n;nn
gn|gn
l|l;ll
r|r;rr


# ------------------------------------------------------------
# GRAPHIES POLYPHONÉMIQUES
# Une seule unité graphique code plusieurs phonèmes.
# ------------------------------------------------------------

x_ks|x
x_gz|x


# ------------------------------------------------------------
# COMPOSITIONS PHONOLOGIQUES ET PÉDAGOGIQUES
# Ces codes correspondent à des groupes graphiques complets.
# ------------------------------------------------------------

oi|oi
oy|oy
ay|ay
oin|oin
ui|ui
ien|ien
ion|ion

ouil|ouil
ouille|ouille

ail|ail
aille|aille

eil|eil
eille|eille

euil|euil
euille|euille
